"yearID","teamIDwinner","round"
1976,"NYA","WS"
1976,"CIN","CH"
1977,"NYA","CH"
1977,"LAN","WS"
1978,"NYA","CH"
1978,"LAN","WS"
1979,"BAL","WS"
1979,"PIT","CH"
1980,"KCA","WS"
1980,"PHI","CH"
1981,"NYA","WS"
1981,"OAK","ALCS"
1981,"MON","NLCS"
1981,"LAN","CH"
1982,"ML4","WS"
1982,"SLN","CH"
1983,"BAL","CH"
1983,"PHI","WS"
1984,"DET","CH"
1984,"SDN","WS"
1985,"KCA","CH"
1985,"SLN","WS"
1986,"BOS","WS"
1986,"NYN","CH"
1987,"MIN","CH"
1987,"SLN","WS"
1988,"OAK","WS"
1988,"LAN","CH"
1989,"OAK","CH"
1989,"SFN","WS"
1990,"OAK","WS"
1990,"CIN","CH"
1991,"MIN","CH"
1991,"ATL","WS"
1992,"TOR","CH"
1992,"ATL","WS"
1993,"TOR","CH"
1993,"PHI","WS"
1995,"CLE","WS"
1995,"SEA","ALCS"
1995,"ATL","CH"
1995,"CIN","NLCS"
1996,"NYA","CH"
1996,"BAL","ALCS"
1996,"ATL","WS"
1996,"SLN","NLCS"
1997,"CLE","WS"
1997,"BAL","ALCS"
1997,"FLO","CH"
1997,"ATL","NLCS"
1998,"NYA","CH"
1998,"CLE","ALCS"
1998,"SDN","WS"
1998,"ATL","NLCS"
1999,"NYA","CH"
1999,"BOS","ALCS"
1999,"ATL","WS"
1999,"NYN","NLCS"
2000,"NYA","CH"
2000,"SEA","ALCS"
2000,"NYN","WS"
2000,"SLN","NLCS"
2001,"NYA","WS"
2001,"SEA","ALCS"
2001,"ARI","CH"
2001,"ATL","NLCS"
2002,"ANA","CH"
2002,"MIN","ALCS"
2002,"SFN","WS"
2002,"SLN","NLCS"
2003,"NYA","WS"
2003,"BOS","ALCS"
2003,"FLO","CH"
2003,"CHN","NLCS"
2004,"BOS","CH"
2004,"NYA","ALCS"
2004,"SLN","WS"
2004,"HOU","NLCS"
2005,"CHA","CH"
2005,"LAA","ALCS"
2005,"HOU","WS"
2005,"SLN","NLCS"
2006,"DET","WS"
2006,"OAK","ALCS"
2006,"SLN","CH"
2006,"NYN","NLCS"
2007,"BOS","CH"
2007,"CLE","ALCS"
2007,"COL","WS"
2007,"ARI","NLCS"
2008,"TBA","WS"
2008,"BOS","ALCS"
2008,"PHI","CH"
2008,"LAN","NLCS"
2009,"NYA","CH"
2009,"LAA","ALCS"
2009,"PHI","WS"
2009,"LAN","NLCS"
2010,"TEX","WS"
2010,"NYA","ALCS"
2010,"SFN","CH"
2010,"PHI","NLCS"
2011,"TEX","WS"
2011,"DET","ALCS"
2011,"SLN","CH"
2011,"MIL","NLCS"
2012,"BAL","ALDS1"
2012,"DET","WS"
2012,"NYA","ALCS"
2012,"SLN","NLCS"
2012,"SFN","CH"
2013,"TBA","ALDS1"
2013,"BOS","CH"
2013,"DET","ALCS"
2013,"PIT","NLDS1"
2013,"SLN","WS"
2013,"LAN","NLCS"
2014,"KCA","WS"
2014,"BAL","ALCS"
2014,"SFN","CH"
2014,"SLN","NLCS"
2015,"HOU","ALDS1"
2015,"KCA","CH"
2015,"TOR","ALCS"
2015,"CHN","NLCS"
2015,"NYN","WS"
